range,n_points,B_minus_A_mean,mean_depth_both_sensors,Sensor_A_mean,Sensor_B_mean,Sensor_A,Sensor_B,source_file
Selected range: rows 345-1386 (1042 points),1042,-0.8184976788003839,2.7553504515595013,3.1645992909596927,2.346101612159309,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 453-672 (220 points),220,-0.7420465840909091,12.906575205545455,13.277598497590906,12.535551913499999,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 13352-14624 (1273 points),1273,-0.7070787445325992,199.42484856386096,199.77838793612725,199.07130919159465,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 1113-2122 (1010 points),1010,-0.6936005458316826,231.713959320302,232.06075959321782,231.36715904738614,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 2553-3842 (1290 points),1290,-0.696339585333334,232.81860521584497,233.16677500851165,232.4704354231783,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 25434-26474 (1041 points),1041,-0.6780665021229588,101.04332903285783,101.3823622839193,100.70429578179635,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 1479-3486 (2008 points),2008,-0.7201998286703191,40.990200051372014,41.350299965707165,40.63010013703685,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 5191-7674 (2484 points),2484,-0.7495634713285025,21.09161689272947,21.466398628393723,20.716835157065216,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 9929-11426 (1498 points),1498,-0.7302362796728973,6.232507697313085,6.597625837149532,5.867389557476636,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 12506-15955 (3450 points),3450,-0.7535327361130435,2.7401259939,3.1168923619565216,2.363359625843478,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
Selected range: rows 16770-19821 (3052 points),3052,-0.5567125824705111,0.6910047947640893,0.9693610859993447,0.41264850352883353,230405,230406,sensor_export_SKQ202410S_SKQ202410S-CTD-ALL_all_20260120_111704.csv
