range,n_points,B_minus_A_mean,B_minus_C_mean,C_minus_A_mean,mean_depth_all_sensors,Sensor_A_mean,Sensor_B_mean,Sensor_C_mean,Sensor_A,Sensor_B,Sensor_C,source_file
Selected range: rows 5190-9053 (3864 points),3864,-0.1359412387939958,0.011438145755693609,-0.14737938454968944,15.618156192964113,15.71259640074534,15.576655161951347,15.565217016195652,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 12675-15010 (2336 points),2336,-0.13004282437071918,0.10108016108732877,-0.231122985458048,3.0460989057348744,3.16648750901113,3.036444684640411,2.9353645235530825,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 41814-43907 (2094 points),2094,-0.34353363928366976,-0.25975096063992,-0.08378267864374975,658.647190492028,658.7896292646706,658.4460956253868,658.7058465860267,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 46241-59844 (13604 points),13604,-0.3550115728837106,-0.2606486814275212,-0.0943628914561894,673.6394471087973,673.7892385969105,673.4342270240268,673.6948757054544,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 1973-5348 (3376 points),3376,-0.23896523918838933,-0.07943707259774836,-0.15952816659064095,376.3179850601165,376.45081619537615,376.21185095618785,376.2912880287855,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 14755-18130 (3376 points),3376,-0.1899050372186022,0.05314862851599543,-0.2430536657345976,151.01688479684537,151.16120436449646,150.97129932727785,150.91815069876185,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 26460-28542 (2083 points),2083,-0.12741036161305805,0.16622263991838707,-0.2936330015314451,24.93956522198272,25.079913009697552,24.952502648084494,24.786280008166106,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 30122-32204 (2083 points),2083,-0.1324184659241478,0.11200021070571291,-0.24441867662986072,19.000371382946067,19.125983763797407,18.993565297873257,18.881565087167544,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 34000-35508 (1509 points),1509,-0.12040148385023193,0.1306343536447979,-0.2510358374950298,9.739369001148663,9.863181441597083,9.742779957746853,9.612145604102054,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
Selected range: rows 37087-40965 (3879 points),3879,-0.12164313812064965,0.1239427302088167,-0.24558586832946636,3.1057580031838103,3.2281676720005152,3.106524533879866,2.9825818036710494,230405,230406,236222,sensor_export_SKQ202512S_SKQ202512S-CTD-ALL_all_20260120_111808.csv
